MCCMNC,Country,Operator,TADIG
20201,Greece,Cosmote,GRCCO
20205,Greece,Vodafone,GRCPF
20205,Greece,Vodafone,GRCCT
20209,Greece,Wind,GRCQT
20210,Greece,Wind,GRCSH
20404,Netherlands,Vodafone,NLDLT
20407,Netherlands,Teleena,NLDTE
20610,Belgium,Orange,BELMO
20620,Belgium,Base,BELKO
20801,France,Orange,FRAF1
20810,France,SFR,FRAF2
20815,France,Free Mobile,FRAFM
20820,France,Bouygues Telecom,FRAK7
21201,Monaco,Monaco Telecom,MCOM1
21202,Monaco,Tel1,(no info)
21210,Monaco,Monaco Telecom,MCOM2
21401,Spain,Vodafone,ESPAT
21403,Spain,Orange,ESPRT
21405,Spain,Movistar,ESPT2
21406,Spain,Vodafone,ESPVV
21407,Spain,Movistar,ESPTE
21409,Spain,Orange,ESPOR
21630,Hungary,Magyar Telekom,HUNH2
21670,Hungary,Vodafone,HUNVR
21805,Bosnia,M-Tel,BIHMS
21901,Croatia,Croatian Telekom,HRVCN
21902,Croatia,Tele2,HRVT2
22003,Serbia,mts,YUGTS
22004,Montenegro,Crnogorski,YUGTM
22201,Italy,TIM,ITASI
22210,Italy,Vodafone,ITAOM
22248,Italy,TIM,ITAGT
22299,Italy,Wind Tre,ITAH3
22601,Romania,Vodafone,ROMMF
22603,Romania,Telekom Romanian,ROMCS
22610,Romania,Orange,ROMFT
22802,Switzerland,Sunrise,CHEDX 
22803,Switzerland,Orange,CHEFT
22851,Switzerland,Bebbicell,(no info)
23001,Czech Republic,T-Mobile,CZERM
23002,Czech Republic,O2,CZEET
23003,Czech Republic,Vodafone,CZECM
23101,Slovakia,Orange,SVKGT
23203,Austria,T-Mobile,AUTMM / AUTTR
23205,Austria,Hutchison 3,AUTHU
23207,Austria,T-Mobile,AUTMM / AUTTR
23210,Austria,Hutchison 3,AUTHU
23403,Guernsey (UK),Airtel-Vodafone,GBRAJ
23407,Guernsey (UK),Cable & Wireless ,GBRCA
23410,UK,O2,GBRCN
23415,UK,Vodafone,GBRVF
23420,UK,Hutchison 3,GBRHU
23430,UK,EE,GBRPP
23433,UK,EE,GBRFT
23450,Jersey (UK),Jersey Telecom,GBRJT
23458,Isle of Man (UK),Manx Telecom,GBRMT
23806,Denmark,H3G,DNKHU
23820,Denmark,Telia,DNKIA
23830,Denmark,Telia,DNKMX
24002,Sweden,Hutchison 3,SWEHU
24004,Sweden,Hutchison 3,SWEHU
24007,Sweden,Tele2,SWEIQ
24010,Sweden,Tele2,SWESM
24202,Norway,Telia,NORK7
24205,Norway,Network Norway,NORNN
24403,Finland,DNA,FINTA
24412,Finland,DNA,FIN2G
24436,Finland,DNA,FIN2G
24602,Lithuania,Bite,LTUK9
24603,Lithuania,Tele2,LTU03
24702,Latvia,Tele2,LVABC
24705,Latvia,Bite,LVAK9
24802,Estonia,Elisa,ESTRE
24803,Estonia,Tele2,ESTRB
25001,Russia,MTS,RUS01
25012,Russia,Baykal Westcom,RUSKH
25016,Russia,NTC,RUS16
25017,Russia,UralTel,RUS17
25039,Russia,Uraltel,RUSUT
25099,Russia,Beeline,RUSBD
25501,Ukraine,Vodafone,UKRUM
25506,Ukraine,Lifecell,UKRAS
25702,Belarus,MTS,BLR02
25704,Belarus,Belarusian Telecom,BLRBT
25901,Moldova,Orange,MDAFT
26006,Poland,Play,POLP4
26201,Germany,Telekom,DEUD1/AAZTD
26202,Germany,Vodafone,DEUD2
26203,Germany,E-Plus,DEUE1
26207,Germany,O2,DEUE2
26208,Germany,O2,DEUO2
26601,Gibraltar,Gibtel,GIBGT
26606,Gibraltar,CTS Mobile,GIBCS
26609,Gibraltar,Eazi,GIBPP
26801,Portugal,Vodafone,PRTTL
26803,Portugal,NOS,PRTFT
26806,Portugal,MEO,PRTTM
27001,Luxembourg,POST,LUXPT
27099,Luxembourg,Orange,LUXVM
27201,Ireland,Vodafone,IRLEC
27203,Ireland,EIR,IRLME
27205,Ireland,Hutchison 3,IRLH3
27401,Iceland,Siminn,ISLPS
27404,Iceland,Viking,ISLVW
27407,Iceland,IceCell,(no info)
27408,Iceland,Siminn,ISLOC
27411,Iceland,Nova,ISLNO
27412,Iceland,Siminn,LSLTA
27602,Albania,Vodafone,ALBVF
27603,Albania,Eagle Mobile,ALBEM
27604,Albania,Plus,ALBM4
27801,Malta,Vodafone,MLTTL
27821,Malta,GO,MLTGO
27877,Malta,Melita,MLTMM
28010,Cyprus,MTN,CYPSC
28201,Georgia,Geocell,GEOGC
28305,Armenia,Vivacell,ARM05
28310,Armenia,Orange,ARMFT
28403,Bulgaria,Vivacom,BGRVA
28602,Turkey,Vodafone,TURTS
28603,Turkey,Turk Telekom,TURIS
28604,Turkey,Turk Telekom,TURAC
28801,Faroe Islands,Foroya Tele,FROFT
29001,Greenland,Tele Greenland,GRLTG
29201,San Marino,Prima,SMOSM
29341,Slovenia,Telekom Slovenije,SVNK8
29370,Slovenia,Telemach,SVNVG
29401,Macedonia,Telekom,MKDMM
29502,Liechtenstein,Salt,LIEVE
29701,Montenegro,Telenor,?
29702,Montenegro,T-Mobile,MNETM
29703,Montenegro,MTel,MNEMT
34001,French West Indies,Orange Caraibe,GLPFT
34020,French West Indies,Digicel,FRAF4
36251,Netherlands Antilles,Telcell,ANTK9
36269,Curacao,Digicel,ANTCT
36291,Curacao,Setel,ANTK8
36301,Aruba,SETAR,ABWSE
36302,Aruba,Digicel,ABWDC
36439,Bahamas,BTC,BHSBH
36801,Cuba,C-Com,CUB01
37001,Dominican Republic,Orange,DOM01
37004,Dominican Republic,Trilogy,DOMAC
37201,Haiti,Comcel,HTICL
37412,Trinidad & Tobago,Bmobile,TTO12
40001,Azerbaijan,Azercell,AZEAC
40002,Azerbaijan,Bakcell,AZEBC
40004,Azerbaijan,Azerfon,AZEAF
40101,Kazakhstan,Beeline,KAZKT
40277,Bhutan,TashiCell,BTNTC
40402,India,Bharti Airtel,INDA9
40403,India,Bharti Airtel,INDBL
40404,India,IDEA Cellular,INDID
40405,India,Vodafone,INDF1
40407,India,IDEA Cellular,IND07
40410,India,Bharti Airtel,INDAT
40411,India,Vodafone,INDE1
40412,India,IDEA Cellular,INDEH
40414,India,IDEA Cellular,INDSP
40416,India,Bharti Airtel,IND16
40417,India,Aircel,IND03
40418,India,Reliance Com,INDRH
40419,India,IDEA Cellular,INDEK
40420,India,Vodafone,INDHM
40421,India,Loop Mobile,INDB1
40422,India,IDEA Cellular,INDBO
40424,India,IDEA Cellular,INDBI
40425,India,Aircel,IND04
40427,India,Vodafone,INDBM
40428,India,Aircel,IND05
40429,India,Aircel,IND06
40430,India,Vodafone,INDCC
40431,India,Bharti Airtel,INDMT
40433,India,Aircel,IND08
40435,India,Aircel,IND02
40437,India,Aircel,IND01
40440,India,Bharti Airtel,INDSC
40441,India,Aircel,INDRC
40442,India,Aircel,INDAC
40443,India,Vodafone,INDBT
40444,India,IDEA Cellular,INDSK
40445,India,Bharti Airtel,INDJB
40446,India,Vodafone,INDBK
40449,India,Bharti Airtel,INDJH
40456,India,IDEA Cellular,INDEU
40467,India,Reliance Com,INDRM
40468,India,MTNL,INDDL
40469,India,MTNL,INDMB
40470,India,Bharti Airtel,INDH1
40474,India,BSNL,INDWB
40478,India,IDEA Cellular,INDMP
40482,India,IDEA Cellular,INDIH
40483,India,Reliance Com,INDRK
40487,India,IDEA Cellular,INDIR
40489,India,IDEA Cellular,INDIU
40490,India,Bharti Airtel,INDA2
40491,India,Aircel,IND09
40492,India,Bharti Airtel,INDA1
40493,India,Bharti Airtel,INDA8
40494,India,Bharti Airtel,INDA4
40495,India,Bharti Airtel,INDA7
40496,India,Bharti Airtel,INDA5
40497,India,Bharti Airtel,INDA6
40498,India,Bharti Airtel,INDA3
40501,India,Reliance Com,INDR0
40505,India,Reliance Com,INDRD
40510,India,Reliance Com,INDR4
40511,India,Reliance Com,INDR5
40513,India,Reliance Com,INDR3
40515,India,Reliance Com,INDR2
40519,India,Reliance Com,INDRR
40520,India,Reliance Com,INDRT
40521,India,Reliance Com,INDR6
40551,India,Bharti Airtel,IND14
40552,India,Bharti Airtel,IND12
40553,India,Bharti Airtel,IND11
40554,India,Bharti Airtel,IND10
40555,India,Bharti Airtel,IND13
40556,India,Bharti Airtel,IND15
40570,India,IDEA Cellular,INDIB
41006,Pakistan,Telenor,PAKTP
41007,Pakistan,Warid,PAKWA
41240,Afghanistan,MTN,AFGAR
41250,Afghanistan,Etisalat,AFGEA
41280,Afghanistan,Afghantel,AFGAT
41301,Sri Lanka,Mobitel,LKA71
41303,Sri Lanka,Etisalat,LKAK8
41305,Sri Lanka,Airtel,LKAAT
41308,Sri Lanka,Hutchison 3,LKAHT
41401,Myanmar,MPT,MMRPT
41405,Myanmar,Ooredoo,MMROM
41501,Lebanon,Alfa,LBNFL
41601,Jordan,Zain,JORFL
41603,Jordan,Umniah,JORUM
41702,Syria,MTN,SYRSP
41840,Iraq,Korek,IRQKK
41903,Kuwait,Wataniya,KWTNM
41904,Kuwait,Viva,KWTKT
42003,Saudi Arabia,Mobily,SAUET
42004,Saudi Arabia,Zain,SAUZN
42101,Yemen,Sabafon,YEMSA
42102,Yemen,Spacetel,YEMSP
42202,Oman,Oman Mobile,OMNGT
42203,Oman,Nawras,OMNNT
42402,UAE,Etisalat,?
42403,UAE,Du,AREDU
42505,Palestine,Jawwal,PSEJE
42506,Palestine,Wataniya,PSEWM
42601,Bahrain,Batelco,BHRBT
42602,Bahrain,Vodafone,BHRMV
42604,Bahrain,Viva,BHRST
42701,Qatar,Ooredoo,QATQT
42702,Qatar,Vodafone,QATB1
42806,Mongolia,G-Mobile,??
42888,Mongolia,Unitel,MNGMN
42899,Mongolia,Mobicom,MNGMC
42901,Nepal,Nepal Mobile,NPLNM
42902,Nepal,Ncell,NPLM2
43235,Iran,MTN,IRNMI
43404,Uzbekistan,Beeline,UZBDU
43407,Uzbekistan,UMS,UZB07
43408,Uzbekistan,Uzbektelecom,UZB00
43604,Tajikistan,Babilon Mobile,TJKK7
43605,Tajikistan,Beeline,TJK91
43709,Kyrgyzstan,NUR,KGZNT
43802,Turkmenistan,TM-Cell,TKMAA
44010,Japan,NTT DoCoMo,JPNDO
44020,Japan,Softbank,JPNJP
45002,South Korea,KT Freetel,KORKF
45005,South Korea,SK Telekom,KORSK
45008,South Korea,KT Freetel,KORKF
45201,Vietnam,Mobifone,VNMMO
45202,Vietnam,VNPT,VNMVI
45204,Vietnam,Viettel,VNMVT
45205,Vietnam,Vietnamobile,VNMVM
45207,Vietnam,Gtel Mobile,VNMBL
45400,Hong Kong,HKT,HKGTC
45403,Hong Kong,Hutchison 3,HKGH3
45404,Hong Kong,Hutchison 3,HKGHT
45406,Hong Kong,SmarTone,HKGSM
45410,Hong Kong,New World PCS,HKGNW
45412,Hong Kong,CMHK,HKGPP
45416,Hong Kong,HKT,HKGMC
45419,Hong Kong,HKT,HKGM3
45501,Macau,CTM,MACCT
45503,Macau,Hutchison 3,MACHT
45504,Macau,CTM,MACCT
45601,Cambodia,Cellcard,KHMGM
45602,Cambodia,Smart Axiata,KHMSM
45604,Cambodia,Cadcomms,KHMFT
45605,Cambodia,Applifone,KHMSC
45606,Cambodia,Latelz,KHML1
45609,Cambodia,Beeline,KHMST
45611,Cambodia,Seatel,KHM3A
45618,Cambodia,Metfone,KHMSH
45701,Laos,Lao Telecom,LAOTC
45708,Laos,Beeline,LAOTL
